eckID,gene,JW id,direction,left nt,right nt,left nt,right nt,b number,direction,left,right,left,right,verified,colonies_tested,percent,LB_22hr,MOPS_24hr,MOPS_48hr,genetic,PEC,MG_Tn5,Score,,,,,,
ECK0560,nfrA,JW0557,-,587205,590177,587226,590174,b0568,-,587205,590177,587226,590174,4,4,100.0 ,0.812 ,0.334 ,0.375 ,N,N,u,-3,,,,,,
ECK0561,nfrB,JW0558,-,590164,592401,590185,592398,b0569,-,590164,592401,590185,592398,6,8,75.0 ,0.749 ,0.271 ,0.301 ,N,N,N,-4,,,,,,
ECK0562,cusS,JW5082,-,592551,593993,592572,593990,b0570,-,592551,593993,592572,593990,8,8,100.0 ,0.814 ,0.249 ,0.233 ,N,N,u,-3,,,,,,
ECK0563,cusR,JW0560,-,593983,594666,594004,594663,b0571,-,593983,594666,594004,594663,8,8,100.0 ,0.758 ,0.357 ,0.439 ,N,N,u,-3,,,,,,
ECK0564,cusC,JW0561,+,594823,596196,594826,596175,b0572,+,594823,596196,594826,596175,4,4,100.0 ,0.779 ,0.300 ,0.335 ,N,N,u,-3,,,,,,
ECK0565,cusF,JW0562,+,596354,596686,596357,596665,b0573,+,596354,596686,596357,596665,7,8,87.5 ,0.831 ,0.520 ,0.706 ,N,N,u,-3,,,,,,
ECK0566,cusB,JW0563,+,596702,597925,596705,597904,b0574,+,596702,597925,596705,597904,8,8,100.0 ,0.842 ,0.296 ,0.280 ,N,N,u,-3,,,,,,
ECK0567,cusA,JW0564,+,597937,601080,597940,601059,b0575,+,597937,601080,597940,601059,8,8,100.0 ,0.855 ,0.303 ,0.294 ,N,N,u,-3,,,,,,
ECK0568,pheP,JW0565,+,601182,602558,601185,602537,b0576,+,601182,602558,601185,602537,3,8,37.5 ,0.778 ,0.208 ,0.115 ,N,N,u,-3,,,,,,
ECK0569,ybdG,JW0566,-,602639,603886,602660,603883,b0577,-,602639,603886,602660,603883,8,8,100.0 ,0.816 ,0.286 ,0.328 ,N,N,u,-3,,,,,,
ECK0570,nfnB,JW0567,-,603994,604647,604015,604644,b0578,-,603994,604647,604015,604644,7,8,87.5 ,0.765 ,0.257 ,0.332 ,N,N,N,-4,,,,,,
ECK0571,ybdF,JW5083,-,604741,605109,604762,605106,b0579,-,604741,605109,604762,605106,8,8,100.0 ,0.804 ,0.378 ,0.392 ,N,N,u,-3,,,,,,
ECK0572,ybdJ,JW0569,-,605174,605422,605195,605419,b0580,-,605174,605422,605195,605419,5,8,62.5 ,0.824 ,0.343 ,0.413 ,N,N,u,-3,,,,,,
ECK0573,ybdK,JW0570,-,605488,606606,605509,606603,b0581,-,605488,606606,605509,606603,7,8,87.5 ,0.732 ,0.332 ,0.360 ,N,N,u,-3,,,,,,
ECK0574,hokE,JW5084,+,607059,607211,607062,607190,b4415,+,607059,607211,607062,607190,5,8,62.5 ,0.716 ,0.276 ,0.346 ,-,u,u,-1.5,,,,,,
ECK0016,insL,JW0572,+,607288,608400,N.T.,N.T.,b0582,+,607288,608400,N.T.,N.T.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N,u,N,-1.5,,,,,,
ECK0575,entD,JW5085,-,608682,609311,608703,609308,b0583,-,608682,609311,608703,609308,0,8,0.0 ,N.A.,N.A.,N.A.,N,N,u,0,,,,,,
ECK0576,fepA,JW5086,-,609477,611717,609498,611714,b0584,-,609477,611717,609498,611714,6,8,75.0 ,0.826 ,0.360 ,0.474 ,N,N,u,-3,,,,,,
ECK0577,fes,JW0576,+,612038,613162,612041,613141,b0585,+,612038,613162,612041,613141,2,8,25.0 ,0.409 ,0.236 ,0.237 ,N,N,u,-3,,,,,,
ECK0578,ybdZ,JW0577,+,613165,613383,613168,613362,b4511,+,613165,613383,613168,613362,8,8,100.0 ,0.755 ,0.251 ,0.299 ,-,u,u,-1.5,,,,,,
ECK0579,entF,JW0578,+,613380,617261,613383,617240,b0586,+,613380,617261,613383,617240,6,8,75.0 ,0.811 ,0.295 ,0.205 ,N,N,N,-4,,,,,,
ECK0580,fepE,JW0579,+,617477,618610,617480,618589,b0587,+,617477,618610,617480,618589,4,8,50.0 ,0.815 ,0.213 ,0.203 ,N,N,N,-4,,,,,,
ECK0581,fepC,JW0580,-,618607,619422,618628,619419,b0588,-,618607,619422,618628,619419,2,8,25.0 ,0.812 ,0.319 ,0.309 ,N,N,N,-4,,,,,,
ECK0582,fepG,JW0581,-,619419,620411,619440,620408,b0589,-,619419,620411,619440,620408,8,8,100.0 ,0.702 ,0.224 ,0.508 ,X,N,u,-2.5,,,,,,
ECK0583,fepD,JW0582,-,620408,621412,620429,621409,b0590,-,620408,621412,620429,621409,7,8,87.5 ,0.811 ,0.360 ,0.377 ,N,N,N,-4,,,,,,
ECK0584,ybdA,JW0583,+,621523,622773,621526,622752,b0591,+,621523,622773,621526,622752,8,8,100.0 ,0.662 ,0.242 ,0.181 ,X,N,N,-3.5,,,,,,
ECK0585,fepB,JW0584,-,622777,623733,622798,623730,b0592,-,622777,623733,622798,623730,6,8,75.0 ,0.817 ,0.305 ,0.302 ,E,N,N,-3,,,,,,
ECK0586,entC,JW0585,+,624108,625283,624111,625262,b0593,+,624108,625283,624111,625262,5,8,62.5 ,0.824 ,0.299 ,0.408 ,N,N,N,-4,,,,,,
ECK0587,entE,JW0586,+,625293,626903,625296,626882,b0594,+,625293,626903,625296,626882,7,8,87.5 ,0.666 ,0.303 ,0.457 ,N,N,N,-4,,,,,,
ECK0588,entB,JW0587,+,626917,627774,626920,627753,b0595,+,626917,627774,626920,627753,6,8,75.0 ,0.694 ,0.318 ,0.408 ,N,N,u,-3,,,,,,
ECK0589,entA,JW0588,+,627774,628520,627777,628499,b0596,+,627774,628520,627777,628499,7,8,87.5 ,0.791 ,0.353 ,0.400 ,N,N,N,-4,,,,,,
ECK0590,ybdB,JW0589,+,628523,628936,628526,628915,b0597,+,628523,628936,628526,628915,3,8,37.5 ,0.843 ,0.202 ,0.239 ,N,N,u,-3,,,,,,
ECK0591,cstA,JW0590,+,629117,631222,629120,631201,b0598,+,629117,631222,629120,631201,7,8,87.5 ,0.808 ,0.397 ,0.432 ,N,N,N,-4,,,,,,
ECK0592,ybdD,JW0591,+,631405,631602,631408,631581,b4512,+,631405,631602,631408,631581,7,8,87.5 ,0.798 ,0.302 ,0.328 ,-,u,u,-1.5,,,,,,
ECK0593,ybdH,JW0592,-,631612,632700,631633,632697,b0599,-,631612,632700,631633,632697,8,8,100.0 ,0.712 ,0.260 ,0.290 ,N,N,u,-3,,,,,,
ECK0594,ybdL,JW0593,+,632809,633969,632812,633948,b0600,+,632809,633969,632812,633948,3,8,37.5 ,0.822 ,0.227 ,0.320 ,N,N,N,-4,,,,,,
ECK0595,ybdM,JW0594,-,633970,634599,633991,634596,b0601,-,633970,634599,633991,634596,8,8,100.0 ,0.803 ,0.348 ,0.366 ,N,N,N,-4,,,,,,
ECK0596,ybdN,JW0595,-,634572,635792,634593,635789,b0602,-,634572,635792,634593,635789,8,8,100.0 ,0.734 ,0.394 ,0.603 ,N,N,u,-3,,,,,,
ECK0597,ybdO,JW0596,-,635939,636841,635960,636838,b0603,-,635939,636841,635960,636838,4,4,100.0 ,0.823 ,0.293 ,0.285 ,N,N,u,-3,,,,,,
ECK0598,dsbG,JW0597,-,637050,637796,637071,637793,b0604,-,637050,637796,637071,637793,7,8,87.5 ,0.854 ,0.415 ,0.500 ,N,N,u,-3,,,,,,
ECK0599,ahpC,JW0598,+,638168,638731,638171,638710,b0605,+,638168,638731,638171,638710,2,8,25.0 ,0.740 ,0.528 ,0.732 ,N,N,N,-4,,,,,,
ECK0600,ahpF,JW0599,+,638976,640541,638979,640520,b0606,+,638976,640541,638979,640520,4,4,100.0 ,0.724 ,0.316 ,0.360 ,N,N,N,-4,,,,,,
ECK0601,uspG,JW0600,-,640662,641090,640683,641087,b0607,-,640662,641090,640683,641087,8,8,100.0 ,0.838 ,0.355 ,0.369 ,N,N,u,-3,,,,,,
ECK0602,ybdR,JW0601,+,641311,642549,641314,642528,b0608,+,641311,642549,641314,642528,4,8,50.0 ,0.794 ,0.294 ,0.268 ,N,N,N,-4,,,,,,
ECK0603,rnk,JW0602,-,642780,643190,642801,643187,b0610,-,642780,643190,642801,643187,8,8,100.0 ,0.810 ,0.365 ,0.319 ,N,N,N,-4,,,,,,
ECK0604,rna,JW0603,-,643420,644226,643441,644223,b0611,-,643420,644226,643441,644223,5,8,62.5 ,0.736 ,0.364 ,0.537 ,N,N,N,-4,,,,,,
ECK0605,citT,JW0604,-,644340,645803,644361,645800,b0612,-,644340,645803,644361,645800,8,8,100.0 ,0.802 ,0.391 ,0.383 ,N,u,u,-2,,,,,,
ECK0606,citG,JW0605,-,645854,646732,645875,646729,b0613,-,645854,646732,645875,646729,8,8,100.0 ,0.737 ,0.375 ,0.406 ,N,u,N,-3,,,,,,
ECK0607,citX,JW0606,-,646707,647258,646728,647255,b0614,-,646707,647258,646728,647255,7,8,87.5 ,0.840 ,0.373 ,0.440 ,N,u,u,-2,,,,,,
ECK0608,citF,JW5087,-,647262,648794,647283,648791,b0615,-,647262,648794,647283,648791,7,8,87.5 ,0.765 ,0.288 ,0.364 ,N,u,N,-3,,,,,,
ECK0609,citE,JW0608,-,648805,649713,648826,649710,b0616,-,648805,649713,648826,649710,7,8,87.5 ,0.787 ,0.304 ,0.312 ,N,u,N,-3,,,,,,
ECK0610,citD,JW0609,-,649710,650006,649731,650003,b0617,-,649710,650006,649731,650003,8,8,100.0 ,0.778 ,0.231 ,0.247 ,N,u,N,-3,,,,,,
ECK0611,citC,JW0610,-,650021,651079,650042,651076,b0618,-,650021,651079,650042,651076,7,8,87.5 ,0.760 ,0.446 ,0.452 ,N,u,u,-2,,,,,,
ECK0612,citA,JW0611,+,651458,653116,651461,653095,b0619,+,651458,653116,651461,653095,8,8,100.0 ,0.816 ,0.275 ,0.313 ,N,N,u,-3,,,,,,
ECK0613,citB,JW0612,+,653085,653765,653088,653744,b0620,+,653085,653765,653088,653744,8,8,100.0 ,0.831 ,0.241 ,0.244 ,N,N,u,-3,,,,,,
ECK0614,dcuC,JW0613,-,653806,654282,653827,654279,b0621,-,653806,655191,653827,N.A.,2,8,25.0 ,0.773 ,0.407 ,0.473 ,N,N,u,-3,,,,,,
ECK0261,insH,JW5895,+,654281,655261,N.T.,N.T.,unique to W3110,absent,absent,absent,N.T.,N.T.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,-,u,u,0,,,,,,
ECK0614,dcuC,JW0616,-,655299,656390,655320,656387,b0621,-,653806,655191,N.A.,655188,3,8,37.5 ,0.545 ,0.342 ,0.435 ,N,N,u,-3,,,,,,
ECK0615,crcA,JW0617,+,656979,657539,656982,657518,b0622,+,655780,656340,655783,656319,6,8,75.0 ,0.830 ,0.252 ,0.110 ,N,u,u,-2,,,,,,
ECK0616,cspE,JW0618,+,657714,657923,657717,657902,b0623,+,656515,656724,656518,656703,8,8,100.0 ,1.001 ,0.362 ,0.444 ,N,N,u,-3,,,,,,
ECK0617,crcB,JW0619,-,657977,658360,657998,658357,b0624,-,656778,657161,656799,657158,8,8,100.0 ,0.781 ,0.326 ,0.387 ,E,u,u,-1,,,,,,
ECK0618,ybeH,JW0620,+,658453,658680,658456,658659,b0625,+,657254,657481,657257,657460,8,8,100.0 ,0.795 ,0.342 ,0.419 ,?,u,u,-1.5,,,,,,
ECK0619,ybeM,JW0621,+,658677,659240,658680,659219,b0626,+,657478,658041,657481,658020,8,8,100.0 ,0.807 ,0.305 ,0.353 ,N,u,N,-3,,,,,,
ECK0620,tatE,JW0622,+,659369,659572,659372,659551,b0627,+,658170,658373,658173,658352,8,8,100.0 ,0.829 ,0.320 ,0.397 ,?,u,u,-1.5,,,,,,
ECK0621,lipA,JW0623,-,659673,660638,659694,660635,b0628,-,658474,659439,658495,659436,3,8,37.5 ,0.296 ,0.022 ,0.136 ,N,N,u,-3,,,,,,
ECK0622,ybeF,JW0624,-,660847,661800,660868,661797,b0629,-,659648,660601,659669,660598,4,4,100.0 ,0.839 ,0.303 ,0.194 ,N,u,N,-3,,,,,,
ECK0623,lipB,JW5089,-,662059,662700,662080,662697,b0630,-,660860,661501,660881,661498,2,8,25.0 ,0.552 ,0.033 ,0.158 ,N,N,u,-3,,,,,,
ECK0624,ybeD,JW0626,-,662801,663064,662822,663061,b0631,-,661602,661865,661623,661862,8,8,100.0 ,0.341 ,0.481 ,0.752 ,N,u,u,-2,,,,,,
ECK0625,dacA,JW0627,-,663174,664385,663195,664382,b0632,-,661975,663186,661996,663183,4,4,100.0 ,0.724 ,0.207 ,0.195 ,N,N,N,-4,,,,,,
ECK0626,rlpA,JW0628,-,664524,665612,664545,665609,b0633,-,663325,664413,663346,664410,8,8,100.0 ,0.781 ,0.370 ,0.394 ,N,N,N,-4,,,,,,
ECK0627,mrdB,JW0629,-,665623,666735,665644,666732,b0634,-,664424,665536,664445,665533,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0628,mrdA,JW0630,-,666738,668639,666759,668636,b0635,-,665539,667440,665560,667437,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0629,ybeA,JW0631,-,668670,669137,668691,669134,b0636,-,667471,667938,667492,667935,6,8,75.0 ,0.705 ,0.392 ,0.408 ,E,u,N,-2,,,,,,
ECK0630,ybeB,JW5090,-,669141,669458,669162,669455,b0637,-,667942,668259,667963,668256,6,8,75.0 ,0.690 ,0.324 ,0.368 ,N,u,N,-3,,,,,,
ECK0631,cobC,JW0633,-,669718,670329,669739,670326,b0638,-,668519,669130,668540,669127,2,8,25.0 ,0.721 ,0.197 ,0.183 ,N,N,N,-4,,,,,,
ECK0632,nadD,JW0634,-,670353,670994,670374,670991,b0639,-,669154,669795,669175,669792,0,8,0.0 ,N.A.,N.A.,N.A.,N,u,u,1,,,,,,
ECK0633,holA,JW0635,-,670996,672027,671017,672024,b0640,-,669797,670828,669818,670825,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0634,rlpB,JW0636,-,672027,672608,672048,672605,b0641,-,670828,671409,670849,671406,0,8,0.0 ,N.A.,N.A.,N.A.,E,N,u,1,,,,,,
ECK0635,leuS,JW0637,-,672623,675205,672644,675202,b0642,-,671424,674006,671445,674003,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0636,ybeL,JW0638,+,675440,675922,675443,675901,b0643,+,674241,674723,674244,674702,6,8,75.0 ,0.831 ,0.281 ,0.200 ,?,u,N,-2.5,,,,,,
ECK0637,ybeQ,JW5091,-,675992,676969,676013,676966,b0644,-,674793,675770,674814,675767,7,8,87.5 ,0.794 ,0.367 ,0.446 ,N,u,u,-2,,,,,,
ECK0638,ybeR,JW0640,+,677133,677840,677136,677819,b0645,+,675934,676641,675937,676620,6,8,75.0 ,0.792 ,0.308 ,0.338 ,N,u,N,-3,,,,,,
ECK0639,djlB,JW0641,+,677837,679264,677840,679243,b0646,+,676638,678065,676641,678044,8,8,100.0 ,0.821 ,0.395 ,0.454 ,N,u,u,-2,,,,,,
ECK0640,ybeT,JW0642,-,679274,679828,679295,679825,b0647,-,678075,678629,678096,678626,2,8,25.0 ,0.760 ,0.352 ,0.448 ,N,u,u,-2,,,,,,
ECK0641,ybeU,JW0643,+,679930,680637,679933,680616,b0648,+,678731,679438,678734,679417,6,8,75.0 ,0.664 ,0.414 ,0.639 ,N,u,u,-2,,,,,,
ECK0642,djlC,JW0644,+,680634,682085,680637,682064,b0649,+,679435,680886,679438,680865,3,8,37.5 ,0.803 ,0.393 ,0.463 ,N,u,u,-2,,,,,,
ECK0643,hscC,JW0645,-,682145,683815,682166,683812,b0650,-,680946,682616,680967,682613,8,8,100.0 ,0.732 ,0.289 ,0.282 ,N,u,u,-2,,,,,,
ECK0644,rihA,JW0646,-,683899,684834,683920,684831,b0651,-,682700,683635,682721,683632,8,8,100.0 ,0.774 ,0.240 ,0.252 ,N,u,N,-3,,,,,,
ECK0645,gltL,JW0647,-,684952,685677,684973,685674,b0652,-,683753,684478,683774,684475,8,8,100.0 ,0.757 ,0.430 ,0.374 ,E,N,N,-3,,,,,,
ECK0646,gltK,JW0648,-,685677,686351,685698,686348,b0653,-,684478,685152,684499,685149,7,8,87.5 ,0.701 ,0.349 ,0.434 ,E,N,u,-2,,,,,,
ECK0647,gltJ,JW0649,-,686351,687091,686372,687088,b0654,-,685152,685892,685173,685889,8,8,100.0 ,0.725 ,0.328 ,0.374 ,N,N,u,-3,,,,,,
ECK0648,gltI,JW5092,-,687261,688169,687282,688166,b0655,-,686062,686970,686083,686967,3,8,37.5 ,0.717 ,0.360 ,0.414 ,N,u,u,-2,,,,,,
ECK0261,insH,JW0652,-,688419,689435,N.T.,N.T.,b0656,-,687220,688236,N.T.,N.T.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N,N,u,-1.5,,,,,,
ECK0649,lnt,JW0654,-,689765,691303,689786,691300,b0657,-,688566,690104,688587,690101,0,8,0.0 ,N.A.,N.A.,N.A.,X,E,u,2.5,,,,,,
ECK0650,ybeX,JW0655,-,691328,692206,691349,692203,b0658,-,690129,691007,690150,691004,8,8,100.0 ,0.811 ,0.359 ,0.411 ,N,u,N,-3,,,,,,
ECK0651,ybeY,JW0656,-,692296,692763,692317,692760,b0659,-,691097,691564,691118,691561,7,8,87.5 ,0.467 ,0.281 ,0.287 ,E,u,N,-2,,,,,,
ECK0652,ybeZ,JW0657,-,692760,693839,692781,693836,b0660,-,691561,692640,691582,692637,3,8,37.5 ,0.771 ,0.261 ,0.265 ,N,u,u,-2,,,,,,
ECK0653,miaB,JW0658,-,693953,695377,693974,695374,b0661,-,692754,694178,692775,694175,4,4,100.0 ,0.763 ,0.248 ,0.341 ,N,u,u,-2,,,,,,
ECK0654,ubiF,JW0659,+,695523,696698,695526,696677,b0662,+,694324,695499,694327,695478,8,8,100.0 ,0.308 ,0.215 ,0.189 ,N,u,u,-2,,,,,,
ECK0662,asnB,JW0660,-,697935,699599,697956,699596,b0674,-,696736,698400,696757,698397,8,8,100.0 ,0.746 ,0.344 ,0.386 ,N,N,u,-3,,,,,,
ECK0663,nagD,JW0661,-,699996,700748,700017,700745,b0675,-,698797,699549,698818,699546,8,8,100.0 ,0.786 ,0.344 ,0.370 ,N,N,u,-3,,,,,,
ECK0664,nagC,JW0662,-,700796,702016,700817,702013,b0676,-,699597,700817,699618,700814,4,4,100.0 ,0.415 ,0.258 ,0.193 ,N,N,u,-3,,,,,,
ECK0665,nagA,JW0663,-,702025,703173,702046,703170,b0677,-,700826,701974,700847,701971,8,8,100.0 ,0.752 ,0.292 ,0.341 ,N,N,u,-3,,,,,,
ECK0666,nagB,JW0664,-,703233,704033,703254,704030,b0678,-,702034,702834,702055,702831,5,8,62.5 ,0.738 ,0.326 ,0.407 ,N,N,N,-4,,,,,,
ECK0667,nagE,JW0665,+,704366,706312,704369,706291,b0679,+,703167,705113,703170,705092,7,8,87.5 ,0.722 ,0.285 ,0.374 ,N,N,N,-4,,,,,,
ECK0668,glnS,JW0666,+,706515,708179,706518,708158,b0680,+,705316,706980,705319,706959,0,8,0.0 ,N.A.,N.A.,N.A.,E,E,u,3,,,,,,
ECK0669,ybfM,JW0667,+,708756,710162,708759,710141,b0681,+,707557,708963,707560,708942,8,8,100.0 ,0.808 ,0.379 ,0.454 ,N,u,u,-2,,,,,,
ECK0670,ybfN,JW0668,+,710212,710538,710215,710517,b0682,+,709013,709339,709016,709318,7,8,87.5 ,0.761 ,0.299 ,0.296 ,E,u,u,-1,,,,,,
ECK0671,fur,JW0669,-,710622,711068,710643,711065,b0683,-,709423,709869,709444,709866,4,4,100.0 ,0.582 ,0.201 ,0.174 ,N,N,u,-3,,,,,,
none,none,JW0670,+,711113,711367,711116,711346,none,+,709914,710168,709917,710147,7,8,87.5 ,0.744 ,0.159 ,0.161 ,-,u,u,-1.5,,,,,,
ECK0672,fldA,JW0671,-,711357,711887,711378,711884,b0684,-,710158,710688,710179,710685,0,8,0.0 ,N.A.,N.A.,N.A.,N,E,u,2,,,,,,
ECK0673,ybfE,JW5816,-,712027,712320,712048,712317,b0685,-,710828,711121,710849,711118,8,8,100.0 ,0.717 ,0.284 ,0.474 ,N,u,u,-2,,,,,,
ECK0674,ybfF,JW0673,-,712460,713224,712481,713221,b0686,-,711261,712025,711282,712022,8,8,100.0 ,0.756 ,0.296 ,0.289 ,N,u,u,-2,,,,,,
ECK0675,seqA,JW0674,+,713409,713954,713412,713933,b0687,+,712210,712755,712213,712734,4,8,50.0 ,0.579 ,0.217 ,0.160 ,E,N,u,-2,,,,,,
ECK0676,pgm,JW0675,+,713980,715620,713983,715599,b0688,+,712781,714421,712784,714400,8,8,100.0 ,0.363 ,0.169 ,0.158 ,N,N,u,-3,,,,,,
ECK0677,ybfP,JW0676,+,715834,716328,715837,716307,b0689,+,714635,715129,714638,715108,4,4,100.0 ,0.810 ,0.286 ,0.287 ,N,u,u,-2,,,,,,
ECK0678,ybfG,JW5094,-,716369,716779,716390,716776,b0690,-,715170,715580,715191,715577,5,8,62.5 ,0.799 ,0.397 ,0.472 ,-,N,N,-3.5,,,,,,
ECK0679,ybfH,JW5095,-,716810,717019,716831,717016,b0691,-,715611,715820,715632,715817,8,8,100.0 ,0.795 ,0.370 ,0.386 ,N,N,N,-4,,,,,,
ECK0680,potE,JW0679,-,717368,718687,717389,718684,b0692,-,716169,717488,716190,717485,8,8,100.0 ,0.800 ,0.227 ,0.282 ,N,N,u,-3,,,,,,
ECK0681,speF,JW0680,-,718684,720882,718705,720879,b0693,-,717485,719683,717506,719680,8,8,100.0 ,0.766 ,0.362 ,0.459 ,N,N,u,-3,,,,,,
none,none,JW0681,+,721005,721262,721008,721241,none,+,719806,720063,719809,720042,5,8,62.5 ,0.749 ,0.484 ,0.673 ,-,u,u,-1.5,,,,,,
ECK0682,kdpE,JW5096,-,721478,722155,721499,722152,b0694,-,720279,720956,720300,720953,7,8,87.5 ,0.818 ,0.245 ,0.151 ,N,N,u,-3,,,,,,
ECK0683,kdpD,JW0683,-,722152,724836,722173,724833,b0695,-,720953,723637,720974,723634,8,8,100.0 ,0.440 ,0.289 ,0.328 ,N,N,u,-3,,,,,,
ECK0684,kdpC,JW0684,-,724829,725401,724850,725398,b0696,-,723630,724202,723651,724199,3,8,37.5 ,0.742 ,0.366 ,0.402 ,?,N,u,-2.5,,,,,,
ECK0685,kdpB,JW0685,-,725410,727458,725431,727455,b0697,-,724211,726259,724232,726256,4,8,50.0 ,0.746 ,0.334 ,0.397 ,N,N,N,-4,,,,,,
ECK0686,kdpA,JW0686,-,727481,729154,727502,729151,b0698,-,726282,727955,726303,727952,2,8,25.0 ,0.886 ,0.461 ,0.504 ,N,N,u,-3,,,,,,
ECK0687,kdpF,JW0687,-,729154,729243,729175,729240,b4513,-,727955,728044,727976,728041,2,8,25.0 ,0.780 ,0.280 ,0.109 ,-,N,u,-2.5,,,,,,
ECK0688,ybfA,JW0688,+,729556,729762,729559,729741,b0699,+,728357,728563,728360,728542,8,8,100.0 ,0.794 ,0.241 ,0.252 ,N,N,N,-4,,,,,,
ECK0689,rhsC,JW0689,+,730005,734198,730008,734177,b0700,+,728806,732999,728809,732978,2,8,25.0 ,0.762 ,0.327 ,0.381 ,N,N,u,-3,,,,,,
ECK0690,ybfB,JW0691,+,734198,734524,734201,734503,b0702,+,732999,733325,733002,733304,5,8,62.5 ,0.735 ,0.383 ,0.617 ,E,N,u,-2,,,,,,
ECK0691,ybfO,JW0692,+,734642,736075,734645,736054,b0703,+,733443,734876,733446,734855,2,8,25.0 ,0.728 ,0.357 ,0.368 ,N,N,u,-3,,,,,,
ECK0692,ybfC,JW0693,+,736072,736641,736075,736620,b0704,+,734873,735442,734876,735421,6,8,75.0 ,0.823 ,0.268 ,0.288 ,E,N,u,-2,,,,,,
ECK0693,ybfQ,JW0694,+,736867,737121,736870,737100,b4514,+,735668,735922,735671,735901,6,8,75.0 ,0.790 ,0.445 ,0.711 ,-,u,u,-1.5,,,,,,
ECK0694,ybfL,JW0695,+,737322,738383,737325,738362,b0705,+,736123,737184,736126,737163,5,8,62.5 ,0.717 ,0.217 ,0.324 ,N,N,u,-3,,,,,,
ECK0695,ybfD,JW0696,+,738514,739275,738517,739254,b0706,+,737315,738076,737318,738055,7,8,87.5 ,0.735 ,0.310 ,0.572 ,N,N,N,-4,,,,,,
ECK0696,ybgA,JW0697,+,739423,739932,739426,739911,b0707,+,738224,738733,738227,738712,8,8,100.0 ,0.646 ,0.431 ,0.557 ,X,N,N,-3.5,,,,,,
ECK0697,phr,JW0698,+,739929,741347,739932,741326,b0708,+,738730,740148,738733,740127,4,8,50.0 ,0.858 ,0.273 ,0.267 ,E,N,N,-3,,,,,,
ECK0698,ybgH,JW0699,-,741497,742978,741518,742975,b0709,-,740298,741779,740319,741776,8,8,100.0 ,0.753 ,0.224 ,0.204 ,N,N,u,-3,,,,,,
ECK0699,ybgI,JW0700,+,743249,743992,743252,743971,b0710,+,742050,742793,742053,742772,8,8,100.0 ,0.795 ,0.379 ,0.413 ,N,N,u,-3,,,,,,
ECK0700,ybgJ,JW0701,+,744015,744671,744018,744650,b0711,+,742816,743472,742819,743451,8,8,100.0 ,0.414 ,0.375 ,0.351 ,N,N,N,-4,,,,,,
ECK0701,ybgK,JW0702,+,744665,745597,744668,745576,b0712,+,743466,744398,743469,744377,8,8,100.0 ,0.748 ,0.264 ,0.437 ,N,N,u,-3,,,,,,
ECK0702,ybgL,JW0703,+,745587,746321,745590,746300,b0713,+,744388,745122,744391,745101,8,8,100.0 ,0.778 ,0.216 ,0.319 ,X,N,u,-2.5,,,,,,
ECK0703,nei,JW0704,+,746357,747148,746360,747127,b0714,+,745158,745949,745161,745928,8,8,100.0 ,0.650 ,0.358 ,0.505 ,X,N,N,-3.5,,,,,,
ECK0704,abrB,JW5097,-,747145,748191,747166,748188,b0715,-,745946,746992,745967,746989,8,8,100.0 ,0.772 ,0.257 ,0.251 ,N,N,u,-3,,,,,,
ECK0705,ybgO,JW5098,-,748343,749404,748364,749401,b0716,-,747144,748205,747165,748202,6,8,75.0 ,0.834 ,0.322 ,0.314 ,N,N,u,-3,,,,,,
ECK0706,ybgP,JW0707,-,749401,750129,749422,750126,b0717,-,748202,748930,748223,748927,4,8,50.0 ,0.833 ,0.287 ,0.234 ,E,N,u,-2,,,,,,
ECK0707,ybgQ,JW5099,-,750144,752591,750165,752588,b0718,-,748945,751392,748966,751389,8,8,100.0 ,0.782 ,0.381 ,0.362 ,N,N,u,-3,,,,,,
ECK0708,ybgD,JW0709,-,752651,753217,752672,753214,b0719,-,751452,752018,751473,752015,3,8,37.5 ,0.720 ,0.313 ,0.367 ,?,N,N,-3.5,,,,,,
ECK0709,gltA,JW0710,-,753607,754890,753628,754887,b0720,-,752408,753691,752429,753688,8,8,100.0 ,0.841 ,0.014 ,0.030 ,N,N,N,-4,,,,,,
ECK0710,sdhC,JW0711,+,755599,755988,755602,755967,b0721,+,754400,754789,754403,754768,5,8,62.5 ,0.420 ,0.242 ,0.304 ,N,N,u,-3,,,,,,
ECK0711,sdhD,JW0712,+,755982,756329,755985,756308,b0722,+,754783,755130,754786,755109,5,8,62.5 ,0.334 ,0.246 ,0.300 ,N,N,N,-4,,,,,,
ECK0712,sdhA,JW0713,+,756329,758095,756332,758074,b0723,+,755130,756896,755133,756875,5,8,62.5 ,0.434 ,0.226 ,0.256 ,N,N,u,-3,,,,,,
ECK0713,sdhB,JW0714,+,758111,758827,758114,758806,b0724,+,756912,757628,756915,757607,8,8,100.0 ,0.330 ,0.327 ,0.370 ,N,N,u,-3,,,,,,
